id,fecha,produccion(Wh)
2,21/06/2020,18033
3,19/06/2020,33310
3,20/06/2020,33102
3,21/06/2020,22569
6,19/06/2020,9264
6,20/06/2020,11418
6,21/06/2020,8539
7,19/06/2020,17820
7,20/06/2020,16901
7,21/06/2020,10812
11,19/06/2020,23960.361
11,20/06/2020,23795.748
11,21/06/2020,14437.511
12,19/06/2020,39248
12,20/06/2020,32353
12,21/06/2020,26488
13,19/06/2020,48223
13,20/06/2020,43241
13,21/06/2020,31132
14,19/06/2020,13598.994
14,20/06/2020,11774.004
14,21/06/2020,10764.593
16,19/06/2020,14625.896
16,20/06/2020,14055.696
16,21/06/2020,8456.449
19,19/06/2020,14579.161
19,20/06/2020,14127.497
19,21/06/2020,9571.428
20,19/06/2020,18192.07
20,20/06/2020,16224.117
20,21/06/2020,11491.411
25,19/06/2020,12936
25,20/06/2020,11398
25,21/06/2020,10017
1,22/06/2020,17433.145
2,22/06/2020,13952
3,22/06/2020,16204
6,22/06/2020,4720
7,22/06/2020,7119
11,22/06/2020,10700.097
12,22/06/2020,13796
13,22/06/2020,16769
14,22/06/2020,4662.0435
15,22/06/2020,10852.236
16,22/06/2020,6110.779
19,22/06/2020,5914.23
20,22/06/2020,7051.6943
25,22/06/2020,5083
1,23/06/2020,24259.115
2,23/06/2020,18137
3,23/06/2020,21425
6,23/06/2020,8834
7,23/06/2020,9313
11,23/06/2020,13992.903
12,23/06/2020,27412
13,23/06/2020,30906
14,23/06/2020,8377.911
15,23/06/2020,20746.545
16,23/06/2020,7931.4863
19,23/06/2020,8868.086
20,23/06/2020,12336.022
25,23/06/2020,8069
1,26/06/2020,35581.586
1,27/06/2020,42486.51
1,28/06/2020,40224.047
1,29/06/2020,32338.953
2,26/06/2020,28654
2,27/06/2020,33590
2,28/06/2020,31790
2,29/06/2020,26488
3,26/06/2020,33143
3,27/06/2020,36759
3,28/06/2020,35245
3,29/06/2020,26317
6,26/06/2020,12234
6,27/06/2020,13766
6,28/06/2020,12996
6,29/06/2020,8160
7,26/06/2020,15088
7,27/06/2020,17960
7,28/06/2020,17007
7,29/06/2020,13902
11,26/06/2020,20896.414
11,27/06/2020,25494.057
11,28/06/2020,23407.654
11,29/06/2020,20517.828
12,26/06/2020,31178
12,27/06/2020,37687
12,28/06/2020,37230
12,29/06/2020,28556
13,26/06/2020,36260
13,27/06/2020,46068
13,28/06/2020,44451
13,29/06/2020,35960
14,26/06/2020,12668.251
14,27/06/2020,17466.004
14,28/06/2020,16508.047
14,29/06/2020,14563.476
15,26/06/2020,25215.701
15,27/06/2020,31411.973
15,28/06/2020,30463.805
15,29/06/2020,25782.56
16,26/06/2020,11176.557
16,27/06/2020,14811.351
16,28/06/2020,13253.425
16,29/06/2020,12611.109
19,26/06/2020,1442.6165
19,27/06/2020,14808.356
19,28/06/2020,15112.475
19,29/06/2020,11086.951
20,26/06/2020,14697.964
20,27/06/2020,17435.73
20,28/06/2020,17318.56
20,29/06/2020,13465.822
25,26/06/2020,11863
25,27/06/2020,15671
25,28/06/2020,15244
25,29/06/2020,13616
1,03/07/2020,39829.582
1,04/07/2020,36509.27
1,05/07/2020,33567.434
2,03/07/2020,30274
2,04/07/2020,25465
2,05/07/2020,24544
3,03/07/2020,32757
3,04/07/2020,30607
3,05/07/2020,28174
6,03/07/2020,13284
6,04/07/2020,12069
6,05/07/2020,6245
7,03/07/2020,15719
7,04/07/2020,14093
7,05/07/2020,13083
11,03/07/2020,22881.29
11,04/07/2020,20833.451
11,05/07/2020,19278.926
12,03/07/2020,37378
12,04/07/2020,27502
12,05/07/2020,27547
13,03/07/2020,44417
13,04/07/2020,31104
13,05/07/2020,32553
14,03/07/2020,12244.879
14,04/07/2020,7914.2812
14,05/07/2020,7715.36
15,03/07/2020,29976.547
15,04/07/2020,21654.354
15,05/07/2020,23307.33
16,03/07/2020,13342.684
16,04/07/2020,11558.095
16,05/07/2020,10902.774
19,03/07/2020,14464.357
19,04/07/2020,12515.147
19,05/07/2020,12222.502
20,03/07/2020,16989.299
20,04/07/2020,13404.487
20,05/07/2020,12899.007
25,03/07/2020,11295
25,04/07/2020,8359
25,05/07/2020,8278
1,08/07/2020,34000.652
1,09/07/2020,26804.332
1,10/07/2020,39801.496
1,24/06/2020,24293.533
1,25/06/2020,33578.95
2,24/06/2020,17162
2,25/06/2020,20469
3,24/06/2020,20800
3,25/06/2020,25543
6,24/06/2020,7756
6,25/06/2020,10309
7,24/06/2020,8788
7,25/06/2020,11287
11,24/06/2020,12588.371
11,25/06/2020,14125.869
12,24/06/2020,16827
12,25/06/2020,24812
13,24/06/2020,24488
13,25/06/2020,30714
14,24/06/2020,7437.7847
14,25/06/2020,10144.536
15,24/06/2020,16043.032
15,25/06/2020,23237.025
16,24/06/2020,7085.333
16,25/06/2020,8886.079
19,24/06/2020,6714.5728
19,25/06/2020,8842.726
20,24/06/2020,9516.443
20,25/06/2020,12931.388
25,24/06/2020,7380
25,25/06/2020,9005
1,30/06/2020,35073.22
2,30/06/2020,24974
3,30/06/2020,30945
6,30/06/2020,11275
7,30/06/2020,13195
11,30/06/2020,19598.703
12,30/06/2020,32715
13,30/06/2020,38074
14,30/06/2020,10643.765
15,30/06/2020,26391.703
16,30/06/2020,11713.544
19,30/06/2020,11949.48
20,30/06/2020,15067.926
25,30/06/2020,10508
1,01/07/2020,37277.816
1,02/07/2020,36950.973
2,01/07/2020,29853
2,02/07/2020,28200
3,01/07/2020,32193
3,02/07/2020,31320
6,01/07/2020,7831
6,02/07/2020,12176
7,01/07/2020,14019
7,02/07/2020,16409
11,01/07/2020,22552.736
11,02/07/2020,21756.191
12,01/07/2020,30958
12,02/07/2020,33092
13,01/07/2020,34475
13,02/07/2020,39782
14,01/07/2020,13106.35
14,02/07/2020,14282.16
15,01/07/2020,28178.896
15,02/07/2020,26396.38
16,01/07/2020,13436.567
16,02/07/2020,13774.971
19,01/07/2020,12461.971
19,02/07/2020,13257.307
